,YearMonth,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Total_Weekly_Sales,Total_MarkDown
0,2011-11-01,4569.874657681365,2617.972524258582,14539.805101359794,1099.340067644859,3186.2532818999953,210162354.78134584,26013.24563284459
1,2011-12-01,3526.9589678509305,8388.675825686072,1188.4015477328567,1272.1764382199606,7674.676492346888,288078102.38709164,22050.88927183671
2,2012-01-01,3107.3103552577063,9387.106993639862,84.32867766619263,580.7767379656924,3650.6753076970226,168894471.68082723,16810.198072226478
3,2012-02-01,17646.955216470844,5457.492576632231,61.974483360532496,12370.745834037683,6054.921035273558,192063579.52562296,41592.08914577485
4,2012-03-01,8563.062597751248,512.3951212265436,9.362092938954982,3757.0394001533687,3349.973261940696,231509650.37401477,16191.832474010811
5,2012-04-01,5475.746419284951,1957.5870810203992,25.59624872554621,1184.9636496078658,3541.514616064071,188920905.81486034,12185.408014702834
6,2012-05-01,8679.060869436018,17.349179495855186,156.33836913787457,2119.4837002389736,3286.2487997469048,188766479.40139535,14258.480918055628
7,2012-06-01,6348.146327150415,194.659728113299,47.79639458450351,1594.6303577924077,5043.188673167441,240610329.27394214,13228.421480808065
8,2012-07-01,5026.9369165800845,130.1918176679131,26.658442167251206,3275.6994033161413,5810.0780979796045,187509452.41520128,14269.564677710994
9,2012-08-01,11042.494684833408,76.73664965680157,39.040905934814674,5450.162753182161,3719.5164173065136,236850765.65910208,20327.951410913698
10,2012-09-01,7122.1083870307375,27.199584984389165,37.11049537895672,1585.0076288539763,5094.021614951309,180645544.44894493,13865.447711199367
11,2012-10-01,3462.360340081707,17.136858203988325,28.883666624975362,1108.3641810413537,3612.054333311061,184361680.3655465,8228.799379263084
